customer_id,customer_code,customer_name,billing_address,city,postal_code,country_name,credit_limit,account_tier,is_active,region_id,created_at
1,1,Wikizz,82 Summit Junction,Magdalena,,Peru,7849,Gold,true,2,12/20/2024
2,2,Fatz,64 Oneill Point,Xinzhou,,China,27683,Bronze,true,2,1/22/2024
3,3,Thoughtbridge,905 Logan Lane,Ubay,6315,Philippines,2902,Silver,true,1,11/2/2024
4,4,Feedfish,85188 Jenna Crossing,Krasnotur’insk,624449,Russia,22731,Silver,true,3,4/23/2024
5,5,Jabbersphere,9637 Lakeland Trail,Panikian,4327,Philippines,44441,Bronze,true,3,2/19/2023
6,6,Kwinu,822 Bobwhite Point,Surkh Bilandī,,Afghanistan,4062,Silver,false,4,2/1/2024
7,7,Mymm,9 Mayfield Lane,Ilhabela,11630-000,Brazil,13666,Silver,true,2,12/28/2024
8,8,Innotype,302 Dahle Drive,Kalabahi,,Indonesia,32123,Gold,false,1,9/10/2023
9,9,Tagopia,22 Barby Pass,Cidadap,,Indonesia,34464,Bronze,false,3,12/16/2023
10,10,Thoughtsphere,086 Fair Oaks Road,Shuangjie,,China,14963,Silver,true,3,12/19/2023
11,11,Ntags,5947 Straubel Lane,Casais de Vera Cruz,3025-353,Portugal,33209,Silver,false,1,10/21/2024
12,12,Camido,3604 Southridge Terrace,Bahāwalpur,63101,Pakistan,39247,Bronze,true,1,2/10/2024
13,13,Rhynoodle,7256 Badeau Crossing,Nehe,,China,14921,Gold,true,2,12/24/2024
14,14,Buzzster,866 Lerdahl Crossing,Taixi,,China,48758,Silver,false,4,2/12/2023
15,15,Blognation,81 Badeau Trail,Takanosu,989-0222,Japan,44150,Gold,true,3,3/16/2024
16,16,Tanoodle,75 Kings Drive,Pembroke,K8B,Canada,28799,Gold,true,2,7/2/2023
17,17,Tagfeed,2 Esker Crossing,Toubao,,China,42257,Bronze,true,1,3/6/2023
18,18,Thoughtstorm,6 Trailsway Drive,Marietta,30061,United States,8093,Silver,true,3,7/26/2024
19,19,Zoombeat,5 Autumn Leaf Road,Stalbe,,Latvia,18378,Silver,false,1,6/6/2023
20,20,Skippad,61446 Kennedy Way,Jiuxian,,China,42272,Gold,false,1,9/16/2024
21,21,Kimia,5709 Main Way,Golden,J9Z,Canada,45305,Gold,true,3,11/20/2024
22,22,Trilia,7096 Vermont Center,La Playosa,5911,Argentina,7719,Gold,false,2,3/25/2024
23,23,Ntags,73 1st Circle,Athens,,Greece,45880,Gold,false,2,12/20/2024
24,24,Linklinks,0367 Hudson Court,Davydovo,142641,Russia,25546,Gold,false,1,2/7/2023
25,25,Flashspan,53 Nevada Way,Cajuru,14240-000,Brazil,11996,Silver,true,1,6/29/2023
26,26,Skinder,085 Muir Park,Verkhnyaya Belka,,Ukraine,11020,Bronze,false,1,9/18/2024
27,27,Twitternation,06006 Kedzie Place,Gressier,,Haiti,10227,Gold,false,4,10/20/2023
28,28,Oyope,7 Prentice Street,Jämsänkoski,42301,Finland,4338,Silver,true,2,9/24/2023
29,29,Zoombeat,5 Pennsylvania Place,Moreno,54800-000,Brazil,48363,Gold,true,3,3/5/2024
30,30,Latz,9 Oak Valley Road,Nusajaya,,Indonesia,44098,Bronze,true,3,2/17/2024
31,31,Thoughtbridge,375 Union Lane,Arrepiado,2140-605,Portugal,6153,Gold,false,3,11/14/2023
32,32,Yambee,09 1st Street,Město,364 61,Czech Republic,27606,Bronze,true,4,11/17/2023
33,33,Eidel,6356 Rusk Crossing,San Bernardino,92415,United States,38319,Gold,true,4,1/30/2024
34,34,Jamia,3730 Fremont Place,Kihancha,,Kenya,49245,Gold,true,3,4/11/2023
35,35,Browsetype,25 Caliangt Junction,Changshan,,China,47929,Silver,false,3,1/20/2023
36,36,Browsecat,1 Carey Way,Mahaddayweyne,,Somalia,41627,Bronze,true,3,7/18/2024
37,37,Shufflester,54532 Westport Alley,La Garenne-Colombes,92959 CEDEX,France,4676,Bronze,true,2,4/25/2023
38,38,Oodoo,064 High Crossing Court,Burgos,8424,Philippines,7366,Gold,false,4,8/19/2023
